GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2013121513,2013-12-15,4,0,0,,CIN,0,0,0,,1,,0,"END GAME",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013122201,2013-12-22,1,0,0,,NO,0,0,0,,1,,0,"END QUARTER 1",0,,,2013,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014011101,2014-01-11,4,4,7,,IND,0,0,0,,1,,0,"TIMEOUT #1 BY NE AT 04:07.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2014011901,2014-01-19,1,0,0,,SF,0,0,0,,1,,0,"END QUARTER 1",0,,,2013,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013121508,2013-12-15,2,0,47,,SF,0,0,0,,1,,0,"TIMEOUT #2 BY TB AT 00:47.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013090901,2013-09-09,4,9,30,HOU,SD,0,0,50,,1,,0,"4-R.BULLOCK KICKS 50 YARDS FROM 50 TO END ZONE, TOUCHBACK.",0,,,2013,0,"UNDER CENTER","KICK OFF",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,50,OPP,0,,0,,0
2013091200,2013-09-12,2,5,5,,NYJ,0,0,0,,1,,0,"TIMEOUT #1 BY NE AT 05:05.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013091504,2013-09-15,2,0,9,WAS,GB,1,10,20,,0,,0,"(:09) 10-R.GRIFFIN KNEELS TO WAS 19 FOR -1 YARDS.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,20,OWN,0,,0,,0
2013091504,2013-09-15,2,0,0,,WAS,0,0,0,,1,,0,"END QUARTER 2",0,,,2013,0,,,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013091501,2013-09-15,2,2,0,,CLE,0,0,0,,1,,0,"TWO-MINUTE WARNING",0,,,2013,0,"UNDER CENTER",,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013091503,2013-09-15,1,11,33,MIN,CHI,2,13,17,,0,,0,"(11:33) 7-C.PONDER PASS INCOMPLETE DEEP LEFT.",0,,,2013,0,"UNDER CENTER",PASS,0,1,1,0,"DEEP LEFT",0,0,0,,0,0,0,0,0,0,,17,OWN,0,,0,,0
2013092903,2013-09-29,4,7,37,HOU,SEA,2,10,20,,0,,0,"(7:37) 8-M.SCHAUB SACKED AT HOU 11 FOR -9 YARDS (91-C.CLEMONS).",0,,,2013,-9,"UNDER CENTER",SACK,0,0,0,0,,1,0,0,,0,0,0,0,0,0,,20,OWN,0,,0,,0
2013092902,2013-09-29,4,0,38,DET,CHI,2,11,49,,0,,0,"(:38) 9-M.STAFFORD KNEELS TO DET 49 FOR NO GAIN.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,49,OWN,0,,0,,0
2013092902,2013-09-29,4,0,36,,CHI,0,0,0,,1,,0,"TIMEOUT #3 BY CHI AT 00:36.",0,,,2013,0,"UNDER CENTER",TIMEOUT,0,0,0,0,,0,0,0,,0,0,0,0,0,0,,0,OWN,0,,0,,0
2013092902,2013-09-29,4,0,35,DET,CHI,3,11,49,,0,,0,"(:35) 9-M.STAFFORD KNEELS TO DET 48 FOR -1 YARDS.",0,,,2013,0,"UNDER CENTER","QB KNEEL",0,0,0,0,,0,0,0,,0,0,0,0,0,0,,49,OWN,0,,0,,0
